Year,Make,Model,Trim,Engine,Notes,ManufacturerPartCode,CategoryName,CategoryCode
2018,Ford,Focus,SE Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,SE Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,SE Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,SE Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,S Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,ST Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Turbocharged,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,Titanium Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2018,Ford,Focus,Titanium Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,SE Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,SE Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,SE Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,SE Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,S Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,S Sedan 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,ST Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Turbocharged,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,Titanium Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 FLEX DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
2017,Ford,Focus,Titanium Hatchback 4-Door,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated,Automatic transmission. 8th Digit of VIN is 2 Read moreRead more compatibility notes Read lessRead less compatibility notes,KN7-100519,['Auto-Parts-and-Vehicles / Auto-Parts-Accessories / Car-Truck-Parts-Accessories / Car-Truck-Transmission-Drivetrain / Car-Truck-CV-Axle-Assemblies'],['6000 / 6028 / 6030 / 33726 / 262243']
